User ID,Favorite Article ID,Rating
1912,35,2
2941,127,3
3041,819,10
1937,445,10
805,406,3
3860,449,9
3363,194,5
3301,162,4
1244,690,6
2867,887,10
278,516,2
2618,601,1
2335,471,6
1734,352,3
2856,596,1
296,320,9
4164,909,7
3891,405,4
1936,332,3
2550,926,2
2101,885,7
2529,581,4
562,290,10
3423,253,7
4282,559,8
4082,591,10
2392,490,10
2196,906,1
2359,61,4
2315,211,6
1836,954,7
4191,326,4
561,838,10
3755,704,3
4122,910,9
372,123,3
2573,543,2
1306,831,6
3071,694,7
717,332,2
1077,572,8
2220,27,2
2508,434,1
2976,51,6
281,592,10
2865,860,3
4159,419,5
2287,343,5
2919,393,7
3869,761,5
3347,592,8
230,40,10
1880,504,7
1203,435,4
4638,930,2
2089,189,3
4925,788,2
3086,922,3
868,353,4
3519,822,6
3038,320,10
2161,943,5
2838,72,8
3394,989,4
1359,49,5
4093,636,6
1629,966,8
1250,588,4
3173,503,1
1422,23,1
4169,454,5
483,817,6
3403,975,8
2193,841,3
2032,628,6
1356,287,1
1663,137,7
2656,306,4
3404,882,3
429,845,4
4806,175,9
2419,404,8
1161,844,8
1447,648,5
2210,923,3
4842,638,3
2203,234,5
4137,857,6
608,85,3
3945,856,7
821,992,4
1873,125,7
3215,552,7
4984,689,7
903,828,7
1868,880,2
3825,509,9
1765,451,5
1574,118,10
2937,87,10
874,503,7
3756,116,8
4891,546,6
4046,973,10
4279,270,2
2999,69,6
4821,409,5
1592,423,10
3648,373,1
2597,333,5
1019,377,10
663,270,6
1117,870,6
3326,583,1
1874,143,8
24,295,10
3699,429,8
551,833,3
194,93,7
3063,731,5
1565,593,8
3295,517,8
3950,236,3
2514,853,9
1197,855,1
2672,60,2
856,670,6
1669,240,4
3779,900,2
4929,231,5
1766,663,9
2621,716,8
1294,536,9
1775,243,8
3333,461,5
1324,100,5
407,81,1
2795,202,1
2318,245,7
4430,976,9
239,152,2
2931,663,7
325,48,4
935,319,10
1869,323,10
2438,930,5
3729,456,1
2536,748,3
2911,114,9
4749,171,1
3534,379,2
4537,912,6
1827,940,5
257,272,5
3375,918,8
1852,650,5
229,970,7
1900,748,7
4497,694,4
3886,140,7
4706,459,2
2222,821,8
4196,954,3
1636,379,3
3473,784,10
2285,348,7
25,600,9
3971,879,9
2674,584,5
3268,879,6
1968,482,4
136,452,3
2289,279,4
4114,117,9
1422,841,6
1792,919,6
3687,507,10
2048,127,9
2909,899,1
1953,259,10
1381,689,7
1573,520,6
3853,372,6
2509,566,8
4794,86,1
2649,284,9
1804,322,9
3811,97,10
488,12,7
2397,469,5
2304,98,8
889,432,1
3020,710,7
1992,501,1
524,477,2
4057,24,7
1143,146,2
3654,568,5
1475,8,7
2738,884,7
2111,282,9
1253,802,1
4396,919,8
4270,902,8
1273,621,7
115,813,4
1241,104,2
1731,943,3
2149,34,8
4927,841,4
1135,644,5
4572,310,8
353,816,7
1939,665,3
4226,715,6
485,66,3
2326,661,7
629,200,6
2866,897,5
2380,920,10
4511,232,4
4826,669,3
307,466,4
175,917,9
2614,409,2
1669,132,3
1149,409,9
3140,955,10
4266,766,7
3410,42,5
2367,707,5
731,589,9
1146,806,3
4970,941,10
326,28,10
2067,502,10
1053,731,6
4855,893,6
2338,39,9
1282,237,4
4855,758,5
3980,476,4
4285,440,1
714,161,7
432,240,7
3976,754,9
3868,379,5
47,546,6
957,386,10
4540,851,10
4010,39,1
4474,370,1
1622,490,3
2900,816,7
2514,134,8
4386,107,6
2612,907,5
1101,723,6
2147,95,9
839,656,7
3426,793,5
4331,9,10
2577,1000,7
2901,730,6
928,677,4
4204,569,7
239,462,7
2878,172,3
2446,496,7
1467,724,1
2662,864,8
3842,581,6
1096,989,2
2362,217,1
2319,198,2
1581,686,5
1861,519,10
3589,237,4
677,40,5
837,229,8
4429,586,6
3979,325,5
4638,13,6
322,586,10
1832,410,9
3816,271,7
3413,694,8
221,399,2
3056,519,4
2879,861,10
1252,880,7
1529,711,2
1799,183,6
4625,533,3
1858,615,5
2965,560,2
763,510,2
2834,337,6
4931,511,3
2993,659,6
1479,446,8
2140,600,10
3284,711,6
592,894,6
4188,861,9
4405,691,8
3417,291,10
1021,970,8
2263,229,7
1601,602,10
472,21,2
1358,960,7
3756,916,5
2744,343,6
2660,678,3
902,779,3
4293,186,9
3422,819,10
4767,786,1
4508,258,7
549,211,1
520,769,3
131,24,1
4066,718,2
4210,250,4
2216,874,7
822,367,5
3500,131,3
1792,139,5
2755,588,3
