user_id,article_id,article_rating
940,3955,8
940,1016,2
940,3955,5
940,191,1
1599,1194,7
940,3955,8
940,2810,10
940,2805,1
940,2366,8
940,3955,6
1054,220,1
940,3955,7
940,3955,9
940,874,3
940,3955,5
940,3955,7
940,3955,10
940,3955,5
940,1464,7
940,2489,10
940,3955,7
940,3955,9
940,3955,10
940,2805,1
940,2,5
940,3955,4
940,3955,2
940,3955,8
940,3133,3
940,3955,7
495,2931,3
1103,232,9
940,3955,2
940,1261,5
578,544,4
940,3955,10
940,3955,6
940,3955,4
940,3955,4
940,3689,8
940,433,8
247,2400,7
1319,3955,3
750,3955,8
940,3955,3
940,1172,10
940,405,8
840,3669,7
940,3955,2
940,2129,7
940,3955,3
940,3778,1
940,764,3
940,3147,1
940,364,6
499,3955,8
940,1826,4
1357,3955,4
940,2008,5
940,2728,3
940,2341,3
940,2411,5
641,3955,9
940,2172,9
940,386,2
1214,3955,9
940,2157,5
940,3955,4
940,3955,7
940,3762,8
1120,208,2
940,3955,3
940,3955,3
940,1372,6
940,2035,6
940,32,3
1357,3955,9
940,3955,2
940,2672,4
1357,3955,7
940,3955,5
940,3955,2
940,3955,5
940,3898,7
940,3577,7
1357,3955,5
940,279,2
940,3955,6
940,484,10
1047,3955,7
46,3955,10
940,2524,8
940,3955,9
1366,3731,8
940,3955,2
940,3955,2
940,572,5
940,271,5
940,3955,8
751,1201,9
355,2954,9
1025,3955,2
940,3955,10
940,1822,8
752,3955,7
940,3955,10
940,2129,1
655,3955,8
1357,37,1
940,2011,8
940,3955,7
535,331,8
940,3955,1
940,3955,6
940,3511,9
940,2129,5
940,3955,9
940,3130,9
940,3955,7
940,3689,2
154,3955,2
940,3955,1
940,3935,9
940,1498,5
1523,3955,3
940,3955,3
281,3154,6
940,1710,2
940,3055,9
475,572,9
940,3955,9
940,3955,9
1582,1870,5
940,2595,5
940,513,10
940,3955,1
940,3955,8
940,3955,3
940,3955,4
940,3754,2
940,2463,1
897,2258,7
940,2824,7
940,3955,8
940,2550,3
940,142,7
940,3955,1
940,497,10
940,3955,6
940,3955,2
940,3955,7
940,3955,5
940,1194,1
940,3221,1
940,3955,8
940,3778,6
940,3789,8
940,3955,8
940,3955,10
940,2033,10
940,3955,10
940,1898,7
940,3955,7
217,3955,7
940,3955,4
940,861,10
940,3955,10
1357,3955,6
940,247,7
1083,3955,8
940,3955,6
940,2042,6
940,3955,10
24,3955,6
1508,3955,2
880,1174,3
940,67,6
940,1497,10
940,1163,1
940,3955,8
940,1280,6
940,2876,10
940,3955,4
940,3955,7
940,3955,5
940,3955,5
940,589,1
940,2352,8
1581,445,2
940,2486,9
940,3955,2
1343,3955,10
940,3955,7
940,3955,5
1357,248,3
1208,3955,8
739,3955,4
940,3955,5
940,3955,9
940,3955,9
940,273,6
1357,2738,8
940,834,8
940,3188,4
940,3955,4
940,2576,10
940,2973,2
1251,2172,10
368,3955,2
940,3955,8
940,3955,1
172,3955,4
940,1024,7
940,3955,6
940,3955,6
940,13,2
940,3955,3
940,3375,10
940,3594,5
1357,3881,2
940,1929,9
940,28,6
940,1629,10
940,3955,8
1158,2431,4
1357,3955,4
940,2404,4
940,3955,7
940,3955,7
940,386,4
940,3955,5
940,3778,3
596,3955,6
940,3955,4
940,3955,1
1609,3955,1
940,1761,10
558,3955,4
940,3955,5
940,3714,1
940,3881,4
940,3955,1
940,2805,7
940,3955,8
1357,3955,2
940,2231,2
940,54,5
906,3955,4
894,2606,1
940,2686,7
940,1749,7
940,302,4
940,1013,9
940,3955,7
940,537,5
940,3955,8
940,3955,6
940,3955,6
188,3955,3
940,3955,6
940,3778,3
1437,386,7
940,1971,8
940,2098,9
940,2853,8
940,1800,9
940,3955,5
940,3955,5
940,746,4
940,3955,9
313,1897,6
940,1935,8
940,3955,7
940,3326,8
940,3310,5
940,3955,6
1535,3955,4
940,3955,2
802,3955,2
940,3297,1
940,2925,2
940,9,8
940,3682,2
940,368,7
495,988,4
940,550,3
940,3566,9
399,1846,8
940,3955,6
940,1592,10
940,3955,6
369,3955,3
940,3955,1
253,3955,10
1357,3700,5
940,388,5
940,149,9
940,3955,3
1040,3955,3
940,3945,3
940,302,7
940,849,4
940,1527,3
940,2172,10
940,2588,5
940,1257,3
940,3955,1
1378,1631,6
940,3300,4
940,3035,8
940,3955,9
940,939,8
940,637,2
940,3378,2
940,2347,1
940,3955,6
940,3955,2
940,1083,9
940,3955,5
940,757,2
940,772,3
940,302,10
940,3955,4
940,3778,2
940,3955,4
940,3955,7
940,3898,3
940,3949,8
940,386,2
940,2858,2
940,3955,7
940,3955,5
940,199,10
940,3955,8
940,3955,8
940,1716,7
940,3955,6
940,3896,4
940,742,8
940,1941,8
940,3955,3
940,2281,5
940,1321,6
940,875,2
940,2596,8
940,3955,9
940,905,5
940,2543,9
940,3955,4
940,3955,7
940,302,3
940,3955,6
1502,3955,3
940,3955,3
940,2926,1
940,15,2
624,386,5
340,1761,6
940,454,6
940,978,5
853,3955,2
193,3955,1
940,3955,10
940,80,4
940,3955,1
940,3955,5
940,3955,9
940,3955,9
284,2766,8
224,2681,3
940,2355,5
940,2099,1
940,3955,1
940,3841,1
940,3775,5
940,2914,2
1247,2606,9
940,2295,10
940,2805,6
940,2036,9
940,3392,8
1357,1822,2
940,3955,6
940,3514,4
940,302,4
657,1268,2
386,1629,4
940,809,6
940,3955,4
940,3955,4
267,3955,1
940,1750,4
940,100,5
940,3955,4
162,704,3
940,1659,7
940,3955,7
940,1338,10
940,3955,7
940,3778,8
939,3955,6
940,2428,2
940,3955,1
1357,3955,10
1348,333,8
940,3955,10
940,644,2
940,1370,9
940,2764,9
940,215,8
940,3955,9
940,2835,6
940,239,7
940,3035,10
940,3955,3
260,572,6
940,43,5
96,3955,5
940,2712,8
508,1407,10
940,3955,8
940,1761,10
940,2129,4
940,3955,7
940,439,5
940,2526,5
806,1427,9
940,3772,9
940,267,7
940,386,1
940,2805,10
1050,1891,7
940,3955,4
1000,3955,5
296,3955,8
940,3303,2
940,2921,8
940,3955,6
940,3955,9
940,2109,5
886,3955,2
924,3257,9
940,3955,5
940,633,9
940,745,4
940,3955,2
940,1112,8
940,3955,2
940,2172,6
1508,3841,9
940,3955,2
940,3955,4
1440,1954,10
940,3955,10
940,3955,3
940,3801,3
940,3955,9
1357,3955,10
940,418,10
940,1012,10
940,3955,5
940,3572,1
940,2814,6
940,349,6
1139,3955,7
940,3474,9
940,3955,9
940,3955,7
940,3955,9
940,2551,8
940,1137,6
940,2818,4
940,3955,3
1263,3955,10
940,3955,10
1256,3955,9
940,3382,2
940,3511,4
565,1865,10
940,3955,7
451,3955,5
940,3776,2
940,3955,1
940,3841,7
940,642,6
940,3832,5
940,3187,10
940,224,9
940,3955,6
940,3955,1
940,3171,4
940,3955,3
940,2666,7
11,2799,6
940,2269,8
940,3955,3
940,3955,4
940,1116,1
940,2865,6
940,3955,3
940,3955,7
940,3955,8
940,8,3
940,3955,5
940,3955,7
940,1840,10
1357,2554,4
268,3955,7
940,2933,7
940,3955,4
940,3955,8
940,3955,9
940,104,10
940,1531,10
940,3955,8
940,3955,7
906,363,10
940,2172,6
940,3955,10
940,3955,6
227,2633,2
940,3955,6
940,149,4
940,3955,7
940,3223,5
948,2693,9
940,1238,3
1357,3955,7
940,772,7
940,296,3
940,1358,8
940,3955,4
940,3343,1
940,2391,3
940,1759,3
940,3341,6
600,3407,6
940,3336,10
940,3955,8
940,3955,5
940,329,6
940,3955,5
940,3076,10
825,3955,2
853,3157,3
940,3955,5
940,3955,5
940,3955,7
940,2352,9
1556,3955,1
940,3217,1
940,3955,5
940,3955,4
940,3894,8
940,3955,6
940,3955,8
512,3955,7
1038,3955,9
7,2019,10
940,2172,8
940,3955,5
940,1636,10
940,2539,7
1225,629,3
151,3955,7
940,1822,2
940,3955,5
940,1957,6
940,2504,2
424,3955,7
940,3955,6
940,3955,7
940,2522,5
940,1833,4
940,3955,4
1354,3955,10
940,3005,8
940,3955,8
940,3729,4
940,3955,8
654,772,6
940,2684,5
940,970,6
906,3778,5
940,386,3
940,3955,5
637,3703,7
940,3955,6
940,3955,9
940,3115,9
940,3955,8
940,3955,7
656,1438,1
270,3955,1
759,386,1
940,1160,7
940,3511,5
940,3955,7
117,3955,2
940,1610,2
1511,3955,10
940,1697,3
940,3035,7
940,2805,6
1008,3955,10
279,3955,8
559,2522,6
940,3955,2
940,305,10
940,3002,4
940,1931,5
940,772,8
940,2169,1
940,3955,8
940,3955,5
940,3306,8
940,3487,3
940,3262,9
940,849,7
940,1991,2
1395,772,1
940,2124,4
940,761,6
940,3955,8
940,3955,1
940,3955,3
830,2610,3
940,333,4
1357,3955,2
940,3955,1
507,3955,7
1102,3955,7
940,3778,4
940,3955,4
940,692,10
940,3955,5
940,3955,3
940,423,9
940,3955,6
940,3035,10
940,2805,5
940,3955,2
940,2413,2
1573,1987,4
940,149,5
940,1671,2
940,3955,6
940,1877,3
940,2210,7
1319,3955,9
940,3955,1
940,519,1
112,3955,10
940,2998,10
940,3955,3
940,3906,9
940,3336,2
940,3955,1
1357,302,4
940,2045,4
940,3035,8
940,3955,8
940,3955,6
940,3955,5
940,2003,9
940,1280,8
940,1622,6
1364,3955,6
940,3955,5
940,3197,2
940,3955,7
940,584,9
940,3955,7
940,3955,2
1273,3778,7
923,44,8
1099,642,7
940,3955,6
940,3146,1
940,737,4
940,1354,4
940,1164,8
940,2643,3
81,3955,8
711,562,8
940,3955,10
